iter	Passed	Remaining
0	0	82
1	1	74
2	2	70
3	2	64
4	3	64
5	4	63
6	4	63
7	5	62
8	6	61
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	10	57
15	10	56
16	11	55
17	12	55
18	12	54
19	13	53
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	33
52	36	32
53	37	32
54	38	31
55	39	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
