iter	Passed	Remaining
0	127	127340
1	129	64408
2	130	43448
3	132	32947
4	133	26632
5	135	22424
6	137	19535
7	139	17337
8	141	15551
9	142	14094
10	143	12892
11	144	11886
12	145	11034
13	146	10287
14	146	9640
15	147	9076
16	148	8577
17	149	8132
18	149	7730
19	150	7369
20	151	7041
21	151	6739
22	152	6463
23	152	6211
24	153	5982
25	154	5776
26	154	5577
27	155	5391
28	155	5217
29	156	5055
30	156	4904
31	157	4762
32	157	4628
33	158	4502
34	159	4384
35	159	4273
36	160	4166
37	160	4066
38	161	3971
39	161	3880
40	162	3794
41	162	3712
42	163	3634
43	163	3559
44	164	3488
45	165	3423
46	165	3360
47	166	3302
48	167	3243
49	167	3186
50	168	3130
51	168	3077
52	169	3025
53	169	2975
54	170	2927
55	170	2881
56	171	2836
57	171	2792
58	172	2751
59	173	2711
60	173	2672
61	174	2634
62	174	2598
63	175	2562
64	175	2528
65	176	2494
66	176	2461
67	177	2430
68	177	2399
69	178	2369
70	178	2340
71	179	2315
72	180	2289
73	181	2265
74	181	2241
75	182	2216
76	182	2191
77	183	2167
78	183	2143
79	184	2120
80	184	2098
81	185	2076
82	185	2052
83	186	2031
84	186	2011
85	187	1991
86	187	1971
87	188	1952
88	188	1934
89	189	1915
90	190	1898
91	190	1880
92	191	1863
93	191	1846
94	192	1830
95	192	1814
96	193	1798
97	193	1785
98	194	1771
99	195	1757
100	196	1745
101	196	1731
102	197	1717
103	197	1704
104	198	1690
105	198	1676
106	199	1663
107	199	1651
108	200	1638
109	200	1625
110	201	1613
111	201	1601
112	202	1589
113	203	1577
114	203	1566
115	204	1555
116	204	1543
117	205	1532
118	205	1521
119	206	1511
120	206	1500
121	207	1489
122	207	1479
123	208	1469
124	208	1460
125	209	1451
126	209	1441
127	210	1431
128	210	1423
129	211	1414
130	211	1405
131	212	1396
132	212	1388
133	213	1380
134	214	1373
135	215	1367
136	215	1359
137	216	1351
138	216	1343
139	217	1336
140	218	1328
141	218	1319
142	218	1312
143	219	1304
144	220	1297
145	220	1290
146	221	1283
147	221	1276
148	222	1269
149	222	1262
150	223	1255
151	223	1248
152	224	1242
153	225	1237
154	226	1232
155	226	1226
156	227	1220
157	227	1214
158	228	1207
159	228	1201
160	229	1194
161	229	1188
162	230	1182
163	230	1176
164	231	1170
165	231	1165
166	232	1159
167	232	1153
168	233	1147
169	234	1142
170	234	1137
171	235	1131
172	235	1126
173	236	1120
174	236	1115
175	237	1110
176	237	1105
177	238	1100
178	238	1095
179	239	1090
180	240	1086
181	240	1082
182	241	1078
183	242	1073
184	242	1068
185	243	1064
186	243	1059
187	244	1054
188	244	1050
189	245	1045
190	245	1041
191	246	1036
192	246	1032
193	247	1027
194	247	1023
195	248	1019
196	248	1014
197	249	1010
198	250	1006
199	250	1002
200	251	997
201	251	993
202	252	989
203	252	985
204	253	981
205	253	977
206	254	973
207	254	970
208	255	966
209	256	963
210	256	960
211	257	956
212	257	953
213	258	949
214	258	945
215	259	941
216	260	938
217	260	934
218	261	930
219	261	927
220	262	923
221	262	920
222	263	916
223	263	913
224	264	910
225	264	906
226	265	903
227	265	899
228	266	896
229	266	893
230	267	890
231	267	886
232	268	883
233	269	880
234	270	879
235	270	876
236	271	873
237	275	880
238	275	878
239	276	875
240	277	872
241	277	869
242	278	866
243	278	863
244	279	860
245	279	857
246	280	854
247	280	851
248	281	848
249	281	845
250	282	842
251	283	840
252	283	838
253	284	835
254	284	832
255	285	830
256	286	827
257	287	825
258	287	823
259	288	820
260	288	818
261	289	815
262	290	812
263	290	810
264	291	807
265	291	804
266	292	802
267	292	799
268	293	797
269	293	794
270	294	791
271	294	789
272	295	786
273	295	784
274	296	781
275	297	779
276	297	776
277	298	774
278	298	772
279	299	769
280	299	767
281	300	765
282	301	762
283	301	760
284	302	758
285	302	755
286	303	753
287	303	751
288	304	748
289	304	746
290	305	744
291	306	742
292	306	740
293	307	738
294	308	736
295	308	733
296	309	731
297	309	729
298	310	727
299	310	725
300	311	723
301	312	721
302	312	718
303	313	716
304	313	714
305	314	712
306	314	710
307	315	708
308	315	706
309	316	704
310	317	702
311	317	701
312	318	699
313	319	697
314	320	696
315	320	694
316	321	692
317	321	690
318	322	688
319	322	686
320	323	684
321	324	682
322	324	680
323	325	678
324	325	676
325	326	674
326	326	672
327	327	670
328	328	669
329	328	667
330	329	665
331	329	663
332	330	661
333	331	660
334	331	658
335	332	657
336	333	655
337	333	653
338	334	652
339	335	650
340	335	648
341	336	646
342	336	644
343	337	643
344	337	641
345	338	639
346	338	637
347	339	636
348	340	634
349	340	632
350	341	631
351	341	629
352	342	627
353	342	625
354	343	623
355	343	622
356	344	620
357	345	618
358	345	617
359	346	615
360	347	614
361	347	612
362	348	611
363	348	609
364	349	608
365	350	606
366	350	604
367	351	602
368	351	601
369	352	599
370	352	598
371	353	596
372	354	595
373	354	593
374	355	591
375	355	590
376	356	588
377	356	586
378	357	585
379	357	583
380	358	582
381	359	581
382	359	579
383	360	577
384	360	576
385	361	574
386	362	573
387	362	571
388	363	570
389	363	568
390	364	567
391	364	565
392	365	564
393	365	562
394	366	561
395	367	559
396	367	558
397	368	556
398	368	555
399	369	553
400	369	552
401	370	550
402	370	549
403	371	547
404	372	546
405	372	545
406	373	543
407	373	542
408	374	540
409	374	539
410	375	537
411	375	536
412	376	534
413	377	533
414	377	532
415	379	532
416	379	530
417	380	529
418	380	528
419	381	526
420	381	525
421	382	523
422	382	522
423	383	521
424	384	520
425	385	518
426	385	517
427	386	516
428	386	514
429	387	513
430	387	511
431	388	510
432	388	509
433	389	507
434	389	506
435	390	505
436	391	504
437	392	503
438	392	501
439	393	500
440	394	499
441	394	498
442	395	496
443	395	495
444	396	494
445	397	493
446	397	491
447	398	490
448	398	489
449	399	487
450	399	486
451	400	485
452	400	483
453	401	482
454	401	481
455	402	480
456	403	479
457	403	477
458	404	476
459	404	475
460	405	474
461	406	472
462	406	471
463	407	470
464	407	469
465	408	468
466	409	467
467	410	466
468	410	465
469	411	463
470	412	462
471	412	461
472	413	460
473	413	459
474	414	458
475	415	456
476	415	455
477	416	454
478	416	453
479	417	452
480	417	450
481	418	449
482	418	448
483	419	447
484	419	445
485	420	444
486	421	443
487	421	442
488	422	441
489	423	440
490	423	439
491	424	438
492	425	437
493	425	436
494	426	434
495	427	434
496	428	433
497	428	432
498	429	431
499	429	429
500	430	428
501	431	427
502	431	426
503	432	425
504	433	424
505	434	424
506	434	422
507	435	421
508	436	420
509	436	419
510	437	418
511	438	417
512	438	416
513	439	415
514	439	414
515	440	413
